id,name,japanese_name,calories
54,/g/1212ghsj,不明,0
55,Köttbullar,ショットブラール,350
56,Ka'ak,カアック,200
57,Papet vaudois,パペ・ヴォードワ,400
58,/g/12148tdg,不明,0
59,Prosciutto di Norcia,プロシュート・ディ・ノルチャ,150
60,Malloreddus,マッロレッドゥス,300
61,/g/1214g6v_,不明,0
62,Pannenkoek,パンネンクック,300
63,Dirty macaroni,ダーティー・マカロニ,400
64,/g/12175t2y,不明,0
65,Garlic butter shrimp,ガーリックバターシュリンプ,250
66,Fricasse,フリカッセ,400
67,Stracciatella,ストラッチャテッラ,200
68,/g/121b74wr,不明,0
69,Sartù,サルトゥ,450
70,Matelote,マテロート,400
71,Baodu,バオドゥ,300
72,Mattentaart,マッテンタルト,350
73,Cartellate,カルテッラーテ,200
74,Gyeran-ppang,ギェラン・ッパン,250
75,Torta Pasqualina,トルタ・パスクアリーナ,350
76,Caltaboș,カルタボシュ,350
77,Khanom mo kaeng,カノム・モー・ケン,250
78,Suimono,吸い物,100
79,Dimlama,ディムラマ,400
80,Tavë Kosi,タヴェ・コシ,400
81,/g/121p63r3,不明,0
82,/g/121slhcd,不明,0
83,Kalach,カラチ,300
84,Jambon persillé,ジャンボン・ペルシエ,200
85,Pork Bones,豚骨,400
86,Pozharsky cutlet,ポジャルスキー・カツレツ,300
87,Roccocò,ロッココ,200
88,Feijão de óleo de palma,パームオイル豆,350
89,Calulu,カルル,400
90,Bey's Soup,ベイのスープ,300
91,/g/1226mnbh,不明,0
92,Thịt kho tàu,ティット・コー・タウ,400
93,Bon bon chicken,ボンボンチキン,300
94,Zoque,ゾケ,300
95,Bint al-sahn,ビント・アル・サハン,350
96,Tempoyak,テンポヤック,200
97,Puran poli,プラン・ポリ,250
98,/g/122m40vc,不明,0
99,Chueo-tang,チュオタン,300
100,Naem,ネーム,200
101,/g/122qyvy7,不明,0
102,/g/122rd60t,不明,0
103,Pizokel,ピゾケル,300
104,/g/122vxtxs,不明,0
105,Schiacciata,スキアッチャータ,300
106,Daheen,ダヒーン,300
107,Chapssal-tteok,チャプサル・トック,250
108,/g/123267k_,不明,0
109,Crescentina modenese,クレシェンティーナ・モデネーゼ,250
110,Pansotti,パンソッティ,300
111,Fried eggplant,揚げナス,200
112,Portuguese seafood rice,ポルトガル海鮮ご飯,450
113,Tripes à la mode de Caen,トリップ・ア・ラ・モード・ド・カーン,400
114,/g/12353lp9,不明,0
115,Brenebon,ブレネボン,350
116,Gnocco fritto,ニョッコ・フリット,250
117,/g/12384pzv,不明,0
118,Tahu tek-tek,タフ・テック・テック,300
119,Bibikkan,ビビッカン,250
120,Squid tongseng,イカ・トンセン,300
121,/g/12fgs6199,不明,0
122,Bundevara,ブンデヴァラ,350
123,Sop saudara,ソップ・サウダラ,400
124,/g/155q8w2m,不明,0
125,Erbazzone,エルバッツォーネ,350
126,Kisra,キスラ,200
127,Meat from tiblica,チブリカの肉,400
128,/g/1hc0hhj4r,不明,0
129,Yufka,ユフカ,200
130,Pisarei e faśö,ピサレイ・エ・ファソ,300
131,/g/1pznmr_ch,不明,0
132,Pampushka,パンプシュカ,200
133,Makowiec,マコヴィエツ,350
134,Saleeg,サリーグ,300
135,/m/0100fwt6,不明,0
136,Jókai bean soup,ヨーカイ豆スープ,350
137,Bookbinder soup,ブックバインダー・スープ,300
138,Selat solo,セラット・ソロ,350
139,Kutsinta,クツィンタ,200
140,Sago soup,サゴスープ,250
141,Vinegret,ヴィネグレット,200
142,Shrimp and grits,エビとグリッツ,400
143,Sirop de Liège,シロップ・ド・リエージュ,150
144,Woku,ウォク,400
145,Muhallebi,ムハッレビ,200
146,Gepuk,ゲプック,300
147,Fouée,フエ,200
148,Octopus,タコ,150
149,Koba,コバ,250
150,Bò lúc lắc,ボー・ルック・ラック,350
151,Squid lū'au,イカ・ルアウ,300
152,Shrimp Louie,シュリンプ・ルイ,250
153,Black pudding,ブラックプディング,300
154,Cherry kebab,チェリー・ケバブ,350
155,Pitsi-pitsî,ピツィ・ピツィ,200
156,Sabich salad,サビッチ・サラダ,250
157,Mie kocok,ミー・コチョック,350
158,Maraca pie,マラカ・パイ,350
159,Banga,バンガ,400
160,Baccalà alla lucana,バッカラ・アッラ・ルカーナ,300
161,Nasi tumpang,ナシ・トゥンパン,350
162,Gratin dauphinois,グラタン・ドフィノワ,400
163,Arroz chaufa,アロス・チャウファ,400
164,Kuih,クエ,200
165,Ayam goreng,アヤム・ゴレン,350
166,Chongos zamoranos,チョンゴス・サモラーノス,250
167,/m/011c708,不明,0
168,Mămăligă,ママリガ,300
169,Candied almonds,キャンディーアーモンド,200
170,Lasagne,ラザニア,450
171,Pecel Lele,ペチェル・レレ,350
172,Lettuce soup,レタススープ,200
173,Acquacotta,アクアコッタ,300
174,Pork blood soup,豚血スープ,350
175,/m/011sq8kg,不明,0
176,Buridda,ブリッダ,400
177,Maccu,マック,300
178,Turkey Devonshire,ターキー・デボンシャー,400
179,Ginestrata,ジネストラータ,250
180,Garmugia,ガルムージャ,250
181,Meringue,メレンゲ,150
182,Peanut butter and jelly sandwich,ピーナッツバターとジェリーサンドイッチ,350
183,Couque de Dinant,クック・ド・ディナン,200
184,Omo tuo,オモ・トゥオ,300
185,Thapthim krop,タプティム・クロップ,250
186,Pie tee,パイ・ティー,200
187,Sutarfeni,スタルフェニ,200
188,Raclette,ラクレット,300
189,Wotou,ウォトウ,200
190,Punugulu,プヌグル,200
191,Succotash,サコタッシュ,250
192,Chim chum,チム・チュム,400
193,Wachipa,ワチパ,300
194,Boat noodles,ボートヌードル,350
195,Tantuni,タントゥニ,300
196,Shab Deg,シャブ・デグ,400
197,Chả giò,チャー・ゾー,250
198,Ciabatta Bacon Cheeseburger,チャバッタ・ベーコンチーズバーガー,500
199,Mie kangkung,ミー・カンクン,350
200,Tuwo masara,トゥウォ・マサラ,300
201,Kokonte,ココンテ,300
202,Akple,アクプレ,300
203,/m/012vypzp,不明,0
204,Kwareżimal,クワレジマル,200
205,Bento,弁当,500
206,Osechi,おせち,500
207,Okonomiyaki,お好み焼き,400
208,Miso soup,味噌汁,100
209,Dango,団子,150
210,Onigiri,おにぎり,200
211,Hiyayakko,冷奴,100
212,Tempura,天ぷら,300
213,Mochi,餅,150
214,Peppersoup,ペッパースープ,350
215,Caldo de queso,カルド・デ・ケソ,400
216,Dodo ikire,ドド・イキレ,300
217,Uirō,外郎,150
218,Hong dou tang,紅豆湯,250
219,Kakigōri,かき氷,150
220,Khichu,キチュ,200
221,Bolo de arroz,ボロ・デ・アロス,200
222,Chips and dip,チップスとディップ,250
223,Murgh musallam,ムルグ・ムサッラム,450
224,Utica greens,ユティカ・グリーン,200
225,Zaalouk,ザアルーク,200
226,Mutton curry,マトンカレー,450
227,Mughlai paratha,ムグライ・パラタ,350
228,Tuo Zaafi,トゥオ・ザーフィ,300
229,Bánh bột lọc,バイン・ボット・ロック,200
230,/m/013f387h,不明,0
231,Cheeseburger,チーズバーガー,400
232,Jelly bean,ジェリービーン,100
233,Apple pie,アップルパイ,400
234,Udon,うどん,300
235,Falafel,ファラフェル,250
236,Agedashi dōfu,揚げ出し豆腐,200
237,Dashi,だし,50
238,Tortell,トルテル,300
239,Omelette,オムレツ,200
240,Crème brûlée,クレームブリュレ,300
241,Cucumber soup,キュウリスープ,150
242,French toast,フレンチトースト,300
243,Tripe,トリップ,300
244,Pepperoni,ペパロニ,150
245,Salami,サラミ,150
246,Kimchi,キムチ,100
247,Knödel,クネーデル,300
248,Takoyaki,たこ焼き,250
249,Halva,ハルヴァ,200
250,Pigs in a blanket,ピッグス・イン・ア・ブランケット,250
251,Spanakopita,スパナコピタ,350
252,Pumpkin pie,パンプキンパイ,400
253,Jambalaya,ジャンバラヤ,450
254,Club sandwich,クラブサンドイッチ,400
255,Churro,チュロス,200
256,Turducken,ターダcken,600
257,Welsh rarebit,ウェルシュ・ラレビット,350
258,Hot dog,ホットドッグ,300
259,Oyakodon,親子丼,350
260,Meatball,ミートボール,300
261,Waldorf salad,ウォルドルフ・サラダ,250
262,Potato salad,ポテトサラダ,250
263,Satay,サテ,250
264,Pemmican,ペミカン,200
265,Mämmi,マンミ,300
266,Fideuà,フィデウア,400
267,Waffle,ワッフル,250
268,Pancake,パンケーキ,250
269,Quiche,キッシュ,350
270,Borscht,ボルシチ,300
271,Bratwurst,ブラートヴルスト,350
272,Foie gras,フォアグラ,200
273,Burrito,ブリトー,450
274,Goulash,グーラッシュ,400
275,Spotted dick,スポッテッド・ディック,350
276,Coq au vin,コック・オ・ヴァン,400
277,Ratatouille,ラタトゥイユ,250
278,Cornbread,コーンブレッド,200
279,Souvlaki,スブラキ,300
280,Chow mein,チャウメン,350
281,Roast beef,ローストビーフ,400
282,Peking duck,北京ダック,450
283,Fried chicken,フライドチキン,400
284,Croquembouche,クロカンブッシュ,200
285,Tahini,タヒニ,150
286,Gumbo,ガンボ,450
287,Fajita,ファヒータ,400
288,Chicken fried steak,チキンフライドステーキ,450
289,Sukiyaki,すき焼き,400
290,Scrapple,スクラップル,300
291,Chili con carne,チリコンカルネ,450
292,Monte Cristo sandwich,モンテクリストサンドイッチ,400
293,Kielbasa,キルバサ,350
294,Polenta,ポレンタ,300
295,Reuben sandwich,ルーベンサンドイッチ,400
296,S'more,スモア,200
297,Andouille,アンドゥイユ,350
298,Beignet,ベニエ,200
299,Crêpe,クレープ,250
300,Gulai,グライ,400
301,Breakfast sausage,朝食ソーセージ,350
302,Chorizo,チョリソー,350
303,Gyro,ジャイロ,400
304,Nachos,ナチョス,350
305,Larb,ラープ,250
306,Couscous,クスクス,250
307,Meze,メゼ,250
308,Cheesesteak,チーズステーキ,450
309,Frozen yogurt,フローズンヨーグルト,200
310,Injera,インジェラ,250
311,Muesli,ミューズリー,200
312,Meatloaf,ミートローフ,450
313,Fuet,フエット,150
314,Nattō,納豆,150
315,Banana split,バナナスプリット,400
316,Pączki,ポンチキ,200
317,Pound cake,パウンドケーキ,400
318,Fuqi feipian,フーチー・フェイピアン,300
319,Nasi lemak,ナシレマック,400
320,Flan,フラン,250
321,Pad thai,パッタイ,400
322,Yakitori,焼き鳥,200
323,Amanattō,甘納豆,150
324,Tom kha kai,トムカーカイ,300
325,Lokma,ロクマ,200
326,Mooncake,月餅,200
327,Idli,イドリ,200
328,Spätzle,シュペッツレ,300
329,Nopalito,ノパリト,200
330,Sincronizada,シンコロニサダ,350
331,Žganci,ジャンツィ,300
332,Totopo,トトポ,150
333,Folar,フォラール,300
334,Cherry pie,チェリーパイ,400
335,Umeboshi,梅干し,50
336,Patty,パティ,300
337,Saltah,サルタ,400
338,Khinkali,ヒンカリ,300
339,Shkedei marak,シュケデイ・マラク,200
340,Tekkadon,鉄火丼,350
341,Chadachadi,チャダチャディ,250
342,Kaipen,カイペン,150
343,Draw soup,ドロー・スープ,300
344,Shahan ful,シャハン・フル,300
345,Shiro,シロ,300
346,Ga'at,ガアット,300
347,Skordalia,スコルダリア,200
348,Budae jjigae,ブデ・チゲ,400
349,Anju,アンジュ,250
350,Fried Coke,フライド・コーク,300
351,Lemang,ルマン,300
352,Basundi,バスンディ,250
353,Brown Betty,ブラウン・ベティ,350
354,Khabees,カビース,200
355,Kottu,コットゥ,350
356,Isterband,イステルバンド,350
357,Ciauscolo,チャウスコロ,200
358,Khatkhate,カトカテ,300
359,Pan de muerto,パン・デ・ムエルト,250
360,Caponata,カポナータ,250
361,/m/0267f9w,不明,0
362,Sabaayad,サバーヤド,200
363,Miyeok-guk,ミヨック・クック,200
364,Imoni,芋煮,350
365,Pitha,ピタ,200
366,Kedgeree,ケジャリー,350
367,Bife a cavalo,ビフェ・ア・カヴァロ,400
368,Yaki udon,焼きうどん,350
369,She-crab soup,シー・クラブ・スープ,350
370,Koozh,クージュ,250
371,Keşkek,ケシュケク,400
372,Cabidela,カビデラ,400
373,Gerber sandwich,ガーバー・サンドイッチ,400
374,Zagorski Štrukli,ザゴルスキ・シュトルクリ,300
375,Himbasha,ヒンバシャ,250
376,Sataraš,サタラシュ,250
377,Kakuni,角煮,300
378,Enormous Omelet Sandwich,巨大オムレツサンドイッチ,450
379,Turrón,トゥロン,200
380,Tsukudani,佃煮,150
381,Hawaiian haystack,ハワイアン・ヘイスタック,450
382,Kateh,カテ,250
383,Stoemp,ストゥンプ,300
384,Pajeon,パジョン,300
385,Ġbejna,ジェブナ,150
386,Kaya toast,カヤ・トースト,250
387,Fit-fit,フィット・フィット,250
388,Kitcha,キッチャ,200
389,Thalipeeth,タリピート,250
390,Figgy pudding,フィギー・プディング,350
391,Cachupa,カチュパ,400
392,Cherries jubilee,チェリーズ・ジュビリー,250
393,Crappit heid,クラピット・ヘッド,300
394,Mince and tatties,ミンス・アンド・タッティーズ,400
395,Anadama bread,アナダマ・ブレッド,200
396,Carbonara,カルボナーラ,400
397,Kladdkaka,クラッドカーカ,350
398,Shakshouka,シャクシューカ,300
399,Chicken Vesuvio,チキン・ヴェスヴィオ,450
400,Jibarito,ジバリト,400
401,Chicken Divan,チキン・ディヴァン,400
402,Motsunabe,もつ鍋,400
403,Sonofabitch stew,ソノファビッチ・スチュ,400
404,Corn pudding,コーン・プディング,300
405,Johnny Marzetti,ジョニー・マルゼッティ,400
406,Mostarda,モスタルダ,150
407,Maafe,マーフェ,400
408,Churma,チュルマ,250
409,Chole bhature,チョーレ・バトゥーレ,400
410,Dobos torte,ドボシュ・トルテ,400
411,Carne de porco à alentejana,カルネ・デ・ポルコ・ア・アレンテジャーナ,450
412,Khao soi,カオソーイ,350
413,Kissel,キッセル,200
414,Cottage loaf,コテージ・ローフ,250
415,Silver needle noodles,銀針麺,300
416,Shrimp DeJonghe,シュリンプ・デジョンヘ,300
417,Kiritanpo,きりたんぽ,250
418,Bean pie,ビーン・パイ,350
419,Churchkhela,チュルチュヘラ,200
420,Yahni,ヤフニ,400
421,Gringas,グリンガス,400
422,Annin tofu,杏仁豆腐,150
423,Jiaozi,餃子,200
424,Breakfast sandwich,朝食サンドイッチ,400
425,Tanghulu,タンフール,150
426,Black sesame soup,黒ゴマスープ,250
427,Gougère,グジェール,150
428,Namul,ナムル,100
429,Kosambari,コサンバリ,100
430,Ma'amoul,マアムール,200
431,Caldo de pollo,カルド・デ・ポヨ,350
432,Loukaniko,ルカニコ,350
433,Doberge cake,ドバージュ・ケーキ,400
434,Nasi campur,ナシ・チャンプル,400
435,Snack cake,スナックケーキ,250
436,Taiyaki,たい焼き,250
437,Karnıyarık,カルヌヤルク,350
438,Pierogi,ピエロギ,250
439,Macaroni and cheese,マカロニ・アンド・チーズ,400
440,Huevos motuleños,ウエボス・モトゥレーニョス,350
441,Chislic,チスリック,300
442,Corn dog,コーンドッグ,300
443,Shawarma,シャワルマ,400
444,Zongzi,ちまき,250
445,Dumpling,ダンプリング,200
446,Syrniki,シルニキ,250
447,King cake,キングケーキ,400
448,Soufflé,スフレ,250
449,Gyūdon,牛丼,400
450,Chicken nugget,チキンナゲット,200
451,Bulgogi,ブルゴギ,350
452,Eggs Benedict,エッグベネディクト,350
453,Hot dry noodles,熱乾麺,350
454,Mashed potato,マッシュポテト,250
455,Anpan,あんぱん,250
456,Quesadilla,ケサディーヤ,400
457,Youtiao,油条,200
458,Congee,お粥,200
459,Sekihan,赤飯,250
460,Semla,セムラ,300
461,Arctic roll,アークティック・ロール,350
462,Castella,カステラ,250
463,Hanabiramochi,花びら餅,150
464,Falukorv,ファルコール,350
465,Ketupat,ケトゥパット,250
466,Rendang,ルンダン,450
467,Chocolate brownie,チョコレートブラウニー,300
468,Mapo doufu,麻婆豆腐,350
469,Chinese noodles,中華麺,350
470,Empanada,エンパナーダ,250
471,Fried rice,炒飯,350
472,Chicago-style pizza,シカゴスタイルピザ,500
473,Cuban sandwich,キューバンサンドイッチ,400
474,Tarte Tatin,タルトタタン,400
475,Yakisoba,焼きそば,400
476,Dagwood sandwich,ダグウッドサンドイッチ,450
477,Cheesecake,チーズケーキ,400
478,Samosa,サモサ,250
479,Devil's food cake,デビルズフードケーキ,400
480,Shashlik,シャシリク,350
481,Horseshoe sandwich,ホースシューサンドイッチ,450
482,City chicken,シティチキン,350
483,Key lime pie,キーライムパイ,400
484,Potato skins,ポテトスキン,250
485,Haejang-guk,ヘジャングク,350
486,Burmese tofu,ビルマ豆腐,150
487,Shumai,シューマイ,200
488,Sour cherry soup,サワーチェリースープ,250
489,Gigandes plaki,ギガンデス・プラキ,300
490,Majboos,マジュブース,450
491,Chicken curry,チキンカレー,400
492,Shrimp Creole,シュリンプ・クレオール,400
493,Pork tenderloin sandwich,ポークテンダーロインサンドイッチ,400
494,Dampfnudel,ダンプフヌーデル,300
495,Finnan haddie,フィナン・ハディ,300
496,Kenkey,ケンキー,300
497,Pincho,ピンチョ,150
498,Gundruk,グンドルック,100
499,Chilorio,チロリオ,350
500,Koulourakia,クルラキア,200
501,Bryndzové halušky,ブリンドゾヴェ・ハルシュキ,350
502,Imagawayaki,今川焼き,250
503,Vasilopita,ヴァシロピタ,350
504,Strapačky,ストラパチュキ,350
505,Po' boy,ポーボーイ,400
506,Capirotada,カピロターダ,300
507,Beef Manhattan,ビーフ・マンハッタン,450
508,Sandwich loaf,サンドイッチローフ,400
509,Jian dui,煎堆,200
510,Almond biscuit,アーモンドビスケット,150
511,West Slavic fermented cereal soups,西スラブ発酵シリアルスープ,300
512,Fried plantain,揚げプランテン,250
513,Stuffed peppers,ピーマンの肉詰め,350
514,Piperade,ピペラード,250
515,Rogan josh,ロガン・ジョシュ,400
516,Fabada asturiana,ファバダ・アストゥリアーナ,450
517,Potato wedges,ポテトウェッジ,300
518,Calisson,カリソン,150
519,Prawn ball,エビボール,200
520,Kushikatsu,串カツ,250
521,Lo mai chi,盧米団,200
522,Manchet,マンチェット,250
523,Leek soup,リークスープ,200
524,Vanillerostbraten,バニラローストブラーテン,400
525,Hangtown fry,ハングタウン・フライ,350
526,Cabbie claw,キャビー・クロウ,300
527,Chitranna,チトランナ,300
528,Ragi mudde,ラギ・ムッデ,250
529,Denver sandwich,デンバーサンドイッチ,400
530,Laverbread,ラバーブレッド,150
531,Elote,エローテ,250
532,Kulolo,クロロ,250
533,Oxtail soup,オックステールスープ,350
534,Pantua,パントゥア,200
535,Corn relish,コーン・レリッシュ,150
536,Pogača,ポガチャ,200
537,Qubani-ka-Meetha,クバニ・カ・ミータ,250
538,Boondi,ブンディ,200
539,Arrosticini,アロスティチーニ,300
540,Panelle,パネッレ,200
541,Santula,サントゥラ,250
542,Tofu skin roll,豆腐皮ロール,200
543,Crispy fried chicken,クリスピーフライドチキン,400
544,Steamed meatball,蒸しミートボール,200
545,Lobio,ロビオ,300
546,Suman,スマン,200
547,Hōtō,ほうとう,300
548,Matbukha,マトブーハ,200
549,/m/02rgjs1,不明,0
550,Açorda,アソルダ,300
551,Makdous,マクドゥース,150
552,Soto,ソト,350
553,Frangollo,フランゴーリョ,250
554,Patty melt,パティメルト,400
555,Taro dumpling,タロダンプリング,200
556,Entomatada,エントマターダ,300
557,Bánh cuốn,バインクオン,200
558,Corunda,コルンダ,200
559,Zhaliang,ザーリャン,250
560,Cassoulet,カスレ,450
561,Debrecener,デブレツェナー,350
562,Scampi,スキャンピ,250
563,Pilaf,ピラフ,300
564,Sambar,サンバール,250
565,Century egg,皮蛋,100
566,Escargot,エスカルゴ,150
567,Cong you bing,葱油餅,200
568,Beef noodle soup,牛肉麺,350
569,Magiritsa,マギリツァ,300
570,Gugelhupf,グーゲルフプフ,350
571,Sachima,サチマ,200
572,White rice,白米,250
573,Maultasche,マウルタッシェ,300
574,American chop suey,アメリカンチョップスーイ,350
575,Fish slice,フィッシュスライス,250
576,Sea cucumber,ナマコ,150
577,Beef ball,ビーフボール,200
578,Siu yuk,焼豚,350
579,Seafood birdsnest,シーフードバーズネスト,300
580,White cut chicken,白切鶏,250
581,/m/02vwryj,不明,0
582,Satsivi,サツィヴィ,300
583,Malpua,マルプア,250
584,Chhena gaja,チェナ・ガジャ,200
585,Flying Jacob,フライング・ヤコブ,400
586,Steak de Burgo,ステーキ・デ・ブルゴ,400
587,Crab Louie,クラブ・ルイ,250
588,Butter chicken,バターチキン,400
589,Amok trey,アモック・トレイ,300
590,Menemen,メネメン,250
591,Piadina,ピアディーナ,300
592,Orange cuttlefish,オレンジイカ,250
593,Fudge,ファッジ,200
594,Cottage Pudding,コテージプディング,300
595,Meatcake,ミートケーキ,350
596,Buttermilk pie,バターミルクパイ,350
597,Kalamay,カラマイ,250
598,Puto,プト,200
599,Dal makhani,ダル・マカニ,300
600,Mixiote,ミヒオテ,350
601,Bagel dog,ベーグルドッグ,300
602,Bún riêu,ブンリウ,300
603,Feijoada,フェイジョアーダ,450
604,Pho,フォー,350
605,Milk toast,ミルクトースト,200
606,Liver and onions,レバーとオニオン,350
607,Iced bun,アイスバン,200
608,Sheer khurma,シール・クルマ,250
609,Yi mein,伊麺,300
610,Shrimp roe noodles,エビ卵麺,300
611,Lai fun,ライファン,300
612,Oil noodles,油麺,300
613,Kal-guksu,カルグクス,300
614,Youmian,油麺,300
615,Avgolemono,アヴゴレモノ,250
616,Pork roll,ポークロール,300
617,Tart,タルト,250
618,Leberkäse,レバケーゼ,350
619,Kalakukko,カラクッコ,300
620,Mustamakkara,ムスタマッカラ,350
621,Baba ghanoush,ババガヌーシュ,150
622,Karelian pasty,カレリアンパスティ,250
623,Shortcake,ショートケーキ,250
624,Profiterole,プロフィットロール,200
625,Moussaka,ムサカ,350
626,Dulce de leche,ドゥルセ・デ・レチェ,150
627,Blaa,ブラー,200
628,Risotto,リゾット,300
629,Funnel cake,ファンネルケーキ,250
630,Fried dough,揚げ生地,250
631,Consommé,コンソメ,150
632,Clam chowder,クラムチャウダー,300
633,Tartiflette,タルティフレット,400
634,Red curry,レッドカレー,350
635,Tandoori chicken,タンドリーチキン,350
636,Gazpacho,ガスパチョ,150
637,Prosciutto,プロシュート,150
638,Boerewors,ボーレヴォルス,350
639,Baked potato,ベイクドポテト,200
640,Bouillabaisse,ブイヤベース,350
641,Kralan,クララン,250
642,Chireta,チレタ,300
643,Bakewell tart,ベイクウェルタルト,250
644,Grits,グリッツ,200
645,Shaved ice,かき氷,150
646,Choco pie,チョコパイ,200
647,Cumian,クミアン,300
648,Jokbal,チョクバル,350
649,Grillades,グリヤード,350
650,Hotteok,ホットク,250
651,Ezogelin soup,エゾゲリン・スープ,250
652,Knedle,クネードレ,200
653,Masgouf,マスグーフ,300
654,Sope,ソペ,200
655,Coconut rice,ココナッツライス,300
656,Bakarkhani,バカルカーニ,200
657,Asida,アシーダ,250
658,Dirt cake,ダートケーキ,300
659,Sel roti,セル・ロティ,200
660,Kalakand,カラカンド,200
661,Ghevar,ゲヴァル,200
662,Sussex pond pudding,サセックス・ポンドプディング,300
663,Lontong,ロントン,250
664,Bánh bèo,バイン・ベオ,200
665,Pringá,プリンガ,350
666,Bull roast,ブル・ロースト,400
667,Stuffed ham,詰めハム,350
668,Lablabi,ラブラビ,250
669,Gooey butter cake,グーイーバターケーキ,350
670,Carciofi alla giudia,カルチョーフィ・アッラ・ジュディア,200
671,Yin si juan,銀絲巻,200
672,Babi panggang,バビ・パンガン,350
673,Chao hong guo,炒紅果,150
674,Fun guo,粉果,200
675,Khira sagara,キラ・サガラ,250
676,Coconut bar,ココナッツバー,200
677,Sundae,スンデ,300
678,Tuna fish sandwich,ツナサンドイッチ,250
679,Zhangcha duck,樟茶鴨,350
680,Marry girl cake,マリーガールケーキ,250
681,Frijoles charros,フリホーレス・チャロス,300
682,Rosca de reyes,ロスカ・デ・レイエス,300
683,Happy Faces,ハッピーフェイス,200
684,Deviled crab,デビルドクラブ,250
685,Sundubu-jjigae,スンドゥブチゲ,300
686,Sinseollo,シンソルロ,350
687,Dongchimi,トンチミ,100
688,Nabak-kimchi,ナバクキムチ,100
689,Dhondas,ドンダス,200
690,Soan papdi,ソアンパプディ,200
691,Baek-kimchi,白キムチ,100
692,Chicken riggies,チキンリギーズ,350
693,Afelia,アフェリア,300
694,Gulyásleves,グヤーシュレーヴェシュ,350
695,Marie biscuit,マリービスケット,150
696,Café liégeois,カフェ・リエジョワ,250
697,Chè,チェー,200
698,Pootharekulu,プータレクル,200
699,Escalope,エスカロープ,300
700,Rajma,ラジマ,300
701,Beshbarmak,ベシュバルマク,400
702,Torta Tre Monti,トルタ・トレ・モンティ,300
703,French dip,フレンチディップ,400
704,Pumpkin-coconut custard,カボチャココナッツカスタード,250
705,Rose hip soup,ローズヒップスープ,200
706,Veggie burger,ベジーバーガー,300
707,Steak tartare,ステーキタルタル,250
708,Bologna sausage,ボローニャソーセージ,350
709,Pâté,パテ,150
710,Bibimbap,ビビンバ,350
711,Shahi paneer,シャーヒパニール,300
712,Fufu,フフ,300
713,Pyttipanna,ピュッティパンナ,350
714,Chicken sandwich,チキンサンドイッチ,350
715,Ghari,ガーリ,200
716,Michigan salad,ミシガンサラダ,250
717,Cabinet pudding,キャビネットプディング,300
718,American fried rice,アメリカンチャーハン,350
719,Korovai,コロヴァイ,300
720,Churrasco,チュラスコ,400
721,Pasulj,パスリ,300
722,Mitraillette,ミトライエット,400
723,Salată de boeuf,サラタ・デ・ブーフ,250
724,Rice pudding,ライスプディング,250
725,Rösti,ロスティ,250
726,Naryn,ナリン,350
727,Kaldereta,カルデレータ,400
728,Makroudh,マクルード,200
729,Kachumbari,カチュンバリ,150
730,Tsukemono,漬物,100
731,Cheese fries,チーズフライ,300
732,Slatko,スラトコ,150
